Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-169194,6/20/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
CA-2016-169194,6/20/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
CA-2015-115742,4/18/2015,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
CA-2015-115742,4/18/2015,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
CA-2015-115742,4/18/2015,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
CA-2015-115742,4/18/2015,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
CA-2016-105816,12/11/2016,Standard Class,JM-15265,Janet Molinari,Corporate,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
CA-2016-105816,12/11/2016,Standard Class,JM-15265,Janet Molinari,Corporate,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
CA-2016-111682,6/17/2016,First Class,TB-21055,Ted Butterfield,Consumer,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
CA-2015-135545,11/24/2015,Standard Class,KM-16720,Kunst Miller,Consumer,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
CA-2015-135545,11/24/2015,Standard Class,KM-16720,Kunst Miller,Consumer,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
CA-2015-135545,11/24/2015,Standard Class,KM-16720,Kunst Miller,Consumer,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
CA-2015-135545,11/24/2015,Standard Class,KM-16720,Kunst Miller,Consumer,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
US-2015-164175,4/30/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
CA-2014-106376,12/05/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
CA-2014-106376,12/05/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
CA-2016-119823,6/04/2016,First Class,KD-16270,Karen Daniels,Consumer,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
CA-2016-106075,9/18/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
CA-2017-114440,9/14/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
US-2015-134026,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
US-2015-134026,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
US-2015-134026,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
US-2017-118038,12/09/2017,First Class,KB-16600,Ken Brennan,Corporate,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
US-2017-118038,12/09/2017,First Class,KB-16600,Ken Brennan,Corporate,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
US-2017-118038,12/09/2017,First Class,KB-16600,Ken Brennan,Corporate,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
US-2014-147606,11/26/2014,Second Class,JE-15745,Joel Eaton,Consumer,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
CA-2016-127208,6/12/2016,First Class,SC-20770,Stewart Carmichael,Corporate,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
CA-2016-127208,6/12/2016,First Class,SC-20770,Stewart Carmichael,Corporate,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
CA-2014-139451,10/12/2014,Standard Class,DN-13690,Duane Noonan,Consumer,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
CA-2014-139451,10/12/2014,Standard Class,DN-13690,Duane Noonan,Consumer,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
CA-2015-149734,9/03/2015,Standard Class,JC-16105,Julie Creighton,Corporate,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
US-2017-119662,11/13/2017,First Class,CS-12400,Christopher Schild,Home Office,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
CA-2017-140088,5/28/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
CA-2017-155558,10/26/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
CA-2017-155558,10/26/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
CA-2016-159695,4/05/2016,Second Class,GM-14455,Gary Mitchum,Home Office,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
CA-2016-109806,9/17/2016,Standard Class,JS-15685,Jim Sink,Corporate,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
CA-2016-109806,9/17/2016,Standard Class,JS-15685,Jim Sink,Corporate,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
CA-2016-109806,9/17/2016,Standard Class,JS-15685,Jim Sink,Corporate,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
CA-2015-149587,1/31/2015,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
CA-2015-149587,1/31/2015,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
CA-2015-149587,1/31/2015,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
US-2017-109484,11/06/2017,Standard Class,RB-19705,Roger Barcio,Home Office,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
CA-2017-161018,11/09/2017,Second Class,PN-18775,Parhena Norris,Home Office,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
CA-2017-157833,6/17/2017,First Class,KD-16345,Katherine Ducich,Consumer,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
CA-2016-149223,9/06/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
CA-2016-158568,8/29/2016,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
CA-2016-158568,8/29/2016,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
CA-2016-158568,8/29/2016,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
CA-2016-129903,12/01/2016,Second Class,GZ-14470,Gary Zandusky,Consumer,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
US-2015-156867,11/13/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
US-2015-156867,11/13/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
US-2015-156867,11/13/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
CA-2017-119004,11/23/2017,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
CA-2017-119004,11/23/2017,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
CA-2017-119004,11/23/2017,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
CA-2015-129476,10/15/2015,Standard Class,PA-19060,Pete Armstrong,Home Office,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
CA-2017-146780,12/25/2017,Standard Class,CV-12805,Cynthia Voltz,Corporate,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
CA-2016-128867,11/03/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
CA-2016-128867,11/03/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
CA-2014-115259,8/25/2014,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
CA-2014-115259,8/25/2014,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
CA-2014-115259,8/25/2014,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
CA-2014-115259,8/25/2014,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
CA-2015-110457,3/02/2015,Standard Class,DK-13090,Dave Kipp,Consumer,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
US-2015-136476,4/05/2015,Standard Class,GG-14650,Greg Guthrie,Corporate,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
CA-2016-103730,6/12/2016,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
CA-2016-103730,6/12/2016,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
CA-2016-103730,6/12/2016,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
CA-2016-103730,6/12/2016,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
CA-2016-103730,6/12/2016,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
US-2014-152030,12/26/2014,Second Class,AD-10180,Alan Dominguez,Home Office,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
US-2014-134614,9/20/2014,Standard Class,PF-19165,Philip Fox,Consumer,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
US-2017-107272,11/05/2017,Standard Class,TS-21610,Troy Staebel,Consumer,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
US-2017-107272,11/05/2017,Standard Class,TS-21610,Troy Staebel,Consumer,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
US-2016-125969,11/06/2016,Second Class,LS-16975,Lindsay Shagiari,Home Office,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
US-2016-125969,11/06/2016,Second Class,LS-16975,Lindsay Shagiari,Home Office,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
US-2017-164147,2/02/2017,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
US-2017-164147,2/02/2017,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
US-2017-164147,2/02/2017,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464
CA-2016-145583,10/13/2016,Standard Class,LC-16885,Lena Creighton,Consumer,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
CA-2016-110366,9/05/2016,Second Class,JD-15895,Jonathan Doherty,Corporate,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
CA-2017-106180,9/18/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,California,West,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
CA-2017-106180,9/18/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
CA-2017-106180,9/18/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,California,West,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
CA-2017-155376,12/22/2017,Standard Class,SG-20080,Sandra Glassco,Consumer,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
CA-2015-110744,9/07/2015,Standard Class,HA-14920,Helen Andreada,Consumer,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
